,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
100,256,483.0,71352,7.181943199999978,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
101,512,483.0,71352,7.181943199999978,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
102,1024,483.0,71352,7.181943199999978,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
103,2048,483.0,71352,7.181943199999978,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
104,0,298.0,300,0.007037599999875965,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",300,0.6,2048
105,1,361.0,602,0.04976560000000063,"[1, 4, 3, 2, 2, 4, 4, 3, 1, 0, 3, 4, 3, 4, 4, 2, 3, 2, 3, 1]",300,0.6,2048
106,2,370.0,904,0.09026610000000801,"[4, 4, 2, 3, 4, 3, 2, 3, 3, 0, 0, 2, 4, 1, 3, 4, 0, 4, 3, 4]",300,0.6,2048
107,4,393.0,1508,0.15190259999985756,"[3, 4, 3, 3, 2, 4, 2, 4, 1, 1, 3, 4, 2, 3, 4, 3, 3, 4, 3, 3]",300,0.6,2048
108,8,476.0,2715,0.2592637000000195,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4]",300,0.6,2048
109,16,476.0,5123,0.5456967000000077,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4]",300,0.6,2048
110,32,482.0,9942,1.034689599999865,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 0, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
111,64,483.0,19575,1.787437299999965,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
112,128,483.0,38839,3.2703944999998384,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
113,256,483.0,71648,5.885505499999908,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
114,512,483.0,71648,5.885505499999908,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
115,1024,483.0,71648,5.885505499999908,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
116,2048,483.0,71648,5.885505499999908,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.6,2048
