,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
70,16,439.0,3426,2.7248603999998977,"[3.0, 4.0, 1.0, 4.0, 3.0, 3.0, 4.0, 3.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 3.0, 4.0]",False,200,0.75,2048
71,32,455.0,6644,5.812574499999982,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 3.0, 4.0]",False,200,0.75,2048
72,64,462.0,13078,11.300871299999926,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,2048
73,128,462.0,25942,23.48020939999992,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,2048
74,256,462.0,49258,44.29181259999996,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,2048
75,512,462.0,49258,44.29181259999996,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,2048
76,1024,462.0,49258,44.29181259999996,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,2048
77,2048,462.0,49258,44.29181259999996,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,2048
78,0,298.0,300,0.008120299999973213,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,300,0.25,2048
79,1,398.0,602,0.18284829999993235,"[3.0, 4.0, 1.0, 2.0, 4.0, 3.0, 1.0, 4.0, 3.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 2.0, 4.0, 3.0, 1.0, 4.0]",False,300,0.25,2048
80,2,423.0,904,0.3658076000001529,"[4.0, 3.0, 2.0, 4.0, 3.0, 2.0, 2.0, 3.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 4.0]",False,300,0.25,2048
81,4,452.0,1508,0.8044551000000411,"[4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 1.0, 1.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 4.0]",False,300,0.25,2048
82,8,467.0,2715,1.7735428999999385,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
83,16,467.0,5123,3.3480934000001525,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
84,32,467.0,9939,6.083074900000156,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
85,64,467.0,19571,11.71907770000007,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
86,128,467.0,38835,23.00630840000008,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
87,256,467.0,62614,38.85112840000011,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
88,512,467.0,62614,38.85112840000011,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
89,1024,467.0,62614,38.85112840000011,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
90,2048,467.0,62614,38.85112840000011,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,300,0.25,2048
91,0,298.0,300,0.00955130000011195,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,300,0.5,2048
92,1,393.0,602,0.18619300000000294,"[4.0, 3.0, 4.0, 2.0, 4.0, 1.0, 4.0, 3.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 3.0, 0.0, 4.0, 1.0]",False,300,0.5,2048
93,2,397.0,904,0.3797940000001745,"[4.0, 3.0, 4.0, 0.0, 1.0, 4.0, 4.0, 4.0, 2.0, 4.0, 1.0, 4.0, 4.0, 2.0, 4.0, 4.0, 1.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
94,4,428.0,1507,0.7471504000000095,"[4.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0, 1.0, 2.0, 0.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 3.0]",False,300,0.5,2048
95,8,458.0,2714,1.4660030000000006,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 1.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 0.0, 4.0]",False,300,0.5,2048
96,16,474.0,5128,2.807483700000148,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
97,32,476.0,9945,5.790957800000115,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
98,64,476.0,19577,11.506622700000207,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
99,128,476.0,38841,23.18325290000007,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
100,256,476.0,66232,39.95485570000005,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
101,512,476.0,66232,39.95485570000005,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
102,1024,476.0,66232,39.95485570000005,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
103,2048,476.0,66232,39.95485570000005,"[4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,300,0.5,2048
104,0,298.0,300,0.00881600000002436,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,300,0.75,2048
105,1,360.0,602,0.18992600000001403,"[4.0, 4.0, 4.0, 2.0, 1.0, 2.0, 3.0, 4.0, 4.0, 0.0, 2.0, 2.0, 4.0, 1.0, 2.0, 4.0, 3.0, 3.0, 0.0, 4.0]",False,300,0.75,2048
