,FEvals,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
78,300,16.0,0,0.25,300,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.12450639400049113,2048,False
79,602,6.0,1,0.25,300,"[8.0, 11.0, 11.0, 14.0, 1.0, 1.0, 0.0, 0.0, 12.0, 15.0, 0.0, 11.0, 13.0, 2.0, 9.0, 6.0]",0.3891944529968896,2048,False
80,903,6.0,2,0.25,300,"[8.0, 11.0, 11.0, 14.0, 1.0, 1.0, 0.0, 0.0, 12.0, 15.0, 0.0, 11.0, 13.0, 2.0, 9.0, 6.0]",0.6617840210019494,2048,False
81,1505,6.0,4,0.25,300,"[8.0, 11.0, 11.0, 14.0, 1.0, 1.0, 0.0, 0.0, 12.0, 15.0, 0.0, 11.0, 13.0, 2.0, 9.0, 6.0]",1.1838408319963492,2048,False
82,2710,5.0,8,0.25,300,"[11.0, 2.0, 10.0, 6.0, 14.0, 2.0, 0.0, 7.0, 15.0, 15.0, 5.0, 9.0, 13.0, 0.0, 8.0, 4.0]",2.199661496997578,2048,False
83,5119,4.0,16,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",4.239926160997129,2048,False
84,9935,4.0,32,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",8.194038048997754,2048,False
85,19567,4.0,64,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",16.431182212996646,2048,False
86,38831,4.0,128,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",32.64449838099972,2048,False
87,63212,4.0,256,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",52.85001745000045,2048,False
88,63212,4.0,512,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",52.85001745000045,2048,False
89,63212,4.0,1024,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",52.85001745000045,2048,False
90,63212,4.0,2048,0.25,300,"[10.0, 4.0, 14.0, 2.0, 13.0, 10.0, 1.0, 5.0, 12.0, 15.0, 1.0, 12.0, 9.0, 6.0, 0.0, 11.0]",52.85001745000045,2048,False
91,300,16.0,0,0.5,300,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.16052363099879585,2048,False
92,602,7.0,1,0.5,300,"[2.0, 5.0, 11.0, 6.0, 1.0, 15.0, 14.0, 0.0, 14.0, 14.0, 4.0, 13.0, 10.0, 3.0, 9.0, 11.0]",0.48697030900075333,2048,False
93,903,7.0,2,0.5,300,"[2.0, 5.0, 11.0, 6.0, 1.0, 15.0, 14.0, 0.0, 14.0, 14.0, 4.0, 13.0, 10.0, 3.0, 9.0, 11.0]",0.8194851070002187,2048,False
94,1506,6.0,4,0.5,300,"[4.0, 7.0, 11.0, 2.0, 5.0, 1.0, 14.0, 0.0, 8.0, 9.0, 6.0, 13.0, 10.0, 0.0, 3.0, 0.0]",1.3701838959968882,2048,False
95,2711,5.0,8,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",2.4277520859977813,2048,False
96,5119,5.0,16,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",4.583304649000638,2048,False
