,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
111,64,402.0,2205,2.659365600000001,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
112,128,402.0,2269,2.7778658000000007,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
113,256,402.0,2370,3.0421930999999987,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
114,512,402.0,2370,3.0421930999999987,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
115,1024,402.0,2370,3.0421930999999987,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
116,2048,402.0,2370,3.0421930999999987,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
117,0,218.0,2370,3.0699991000000004,"[0, 1, 3, 4, 3, 0, 2, 4, 2, 0, 3, 3, 1, 1, 1, 0, 3, 2, 4, 0]",25,2048,9
118,1,223.0,2372,3.1015127999999983,"[0, 1, 3, 4, 3, 0, 2, 4, 2, 0, 3, 3, 1, 1, 2, 0, 3, 2, 4, 0]",25,2048,9
119,2,223.0,2373,3.1238287999999983,"[0, 1, 3, 4, 3, 0, 2, 4, 2, 0, 3, 3, 1, 1, 2, 0, 3, 2, 4, 0]",25,2048,9
120,4,249.0,2377,3.1503714999999985,"[1, 1, 3, 4, 3, 2, 2, 4, 2, 0, 3, 3, 1, 1, 2, 0, 3, 2, 4, 0]",25,2048,9
121,8,290.0,2383,3.174983300000001,"[1, 1, 3, 4, 3, 2, 2, 4, 2, 0, 3, 3, 1, 1, 3, 0, 3, 2, 4, 4]",25,2048,9
122,16,299.0,2392,3.213747399999999,"[1, 1, 3, 4, 3, 2, 2, 4, 2, 0, 3, 4, 1, 1, 3, 0, 3, 2, 4, 4]",25,2048,9
123,32,392.0,2414,3.2521050000000002,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 1, 3, 2, 4, 2, 4, 4]",25,2048,9
124,64,409.0,2448,3.3188555000000015,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 2, 3, 3, 4, 2, 4, 4]",25,2048,9
125,128,414.0,2513,3.6158181999999996,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 2, 4, 3, 4, 2, 4, 4]",25,2048,9
126,256,414.0,2641,3.8879908000000007,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 2, 4, 3, 4, 2, 4, 4]",25,2048,9
127,512,414.0,2666,3.958670099999999,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 2, 4, 3, 4, 2, 4, 4]",25,2048,9
128,1024,414.0,2666,3.958670099999999,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 2, 4, 3, 4, 2, 4, 4]",25,2048,9
129,2048,414.0,2666,3.958670099999999,"[1, 4, 3, 4, 3, 4, 4, 4, 2, 0, 3, 4, 2, 2, 4, 3, 4, 2, 4, 4]",25,2048,9
130,0,253.0,2666,3.9854069999999986,"[2, 0, 4, 4, 2, 3, 2, 0, 0, 3, 2, 2, 4, 2, 2, 0, 3, 0, 3, 1]",25,2048,10
131,1,253.0,2667,4.010754500000001,"[2, 0, 4, 4, 2, 3, 2, 0, 0, 3, 2, 2, 4, 2, 2, 0, 3, 0, 3, 1]",25,2048,10
132,2,257.0,2669,4.034952799999999,"[2, 0, 4, 4, 2, 3, 2, 0, 0, 3, 2, 2, 4, 2, 2, 0, 3, 1, 3, 1]",25,2048,10
133,4,257.0,2671,4.064536099999998,"[2, 0, 4, 4, 2, 3, 2, 0, 0, 3, 2, 2, 4, 2, 2, 0, 3, 1, 3, 1]",25,2048,10
134,8,292.0,2677,4.095590399999999,"[2, 3, 4, 4, 2, 3, 2, 0, 0, 3, 2, 2, 4, 4, 2, 0, 3, 1, 3, 1]",25,2048,10
135,16,317.0,2688,4.138024699999999,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 2, 2, 4, 4, 3, 0, 3, 1, 3, 1]",25,2048,10
136,32,362.0,2707,4.189091399999999,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 3, 3, 4, 3, 1]",25,2048,10
137,64,390.0,2741,4.398672600000001,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 4, 3, 4, 3, 3]",25,2048,10
138,128,390.0,2805,4.551189300000001,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 4, 3, 4, 3, 3]",25,2048,10
139,256,399.0,2934,4.821725000000001,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 4, 3, 4, 3, 4]",25,2048,10
140,512,399.0,3079,5.317655200000001,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 4, 3, 4, 3, 4]",25,2048,10
141,1024,399.0,3079,5.317655200000001,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 4, 3, 4, 3, 4]",25,2048,10
142,2048,399.0,3079,5.317655200000001,"[2, 3, 4, 4, 2, 3, 4, 0, 4, 3, 3, 2, 4, 4, 3, 4, 3, 4, 3, 4]",25,2048,10
143,0,282.0,3079,5.349598199999999,"[4, 2, 3, 0, 0, 4, 1, 2, 4, 4, 2, 4, 4, 4, 0, 0, 1, 4, 2, 2]",25,2048,11
144,1,282.0,3080,5.378733399999998,"[4, 2, 3, 0, 0, 4, 1, 2, 4, 4, 2, 4, 4, 4, 0, 0, 1, 4, 2, 2]",25,2048,11
145,2,282.0,3081,5.408170800000001,"[4, 2, 3, 0, 0, 4, 1, 2, 4, 4, 2, 4, 4, 4, 0, 0, 1, 4, 2, 2]",25,2048,11
146,4,282.0,3083,5.4401806000000015,"[4, 2, 3, 0, 0, 4, 1, 2, 4, 4, 2, 4, 4, 4, 0, 0, 1, 4, 2, 2]",25,2048,11
147,8,288.0,3088,5.473253400000001,"[4, 2, 3, 0, 0, 4, 1, 3, 4, 4, 2, 4, 4, 4, 0, 0, 1, 4, 2, 2]",25,2048,11
148,16,314.0,3098,5.515042999999999,"[4, 2, 3, 0, 0, 4, 1, 3, 4, 4, 2, 4, 4, 4, 2, 0, 3, 4, 2, 2]",25,2048,11
149,32,344.0,3117,5.576282899999999,"[4, 2, 3, 0, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 3]",25,2048,11
150,64,356.0,3151,5.6561725,"[4, 2, 3, 2, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 3]",25,2048,11
151,128,365.0,3216,5.795880799999999,"[4, 2, 3, 2, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 4]",25,2048,11
152,256,365.0,3344,6.058195399999999,"[4, 2, 3, 2, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 4]",25,2048,11
153,512,365.0,3387,6.2005734,"[4, 2, 3, 2, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 4]",25,2048,11
154,1024,365.0,3387,6.2005734,"[4, 2, 3, 2, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 4]",25,2048,11
155,2048,365.0,3387,6.2005734,"[4, 2, 3, 2, 0, 4, 3, 3, 4, 4, 2, 4, 4, 4, 3, 0, 3, 4, 2, 4]",25,2048,11
